Epoch,Train_CQ,Valid_CQ
1,47.748050689697266,47.88929748535156
2,49.18641662597656,50.41432571411133
3,50.71790313720703,50.68254470825195
4,50.948448181152344,51.11437225341797
5,51.14143753051758,51.17890167236328
6,51.25498962402344,51.40045166015625
7,51.463741302490234,51.588523864746094
8,51.59659957885742,51.7293701171875
9,51.74177932739258,51.87110900878906
10,51.859458923339844,51.93741989135742
11,52.0081901550293,52.02176284790039
12,52.142581939697266,52.13239669799805
13,52.244815826416016,52.53327941894531
14,52.36898422241211,52.58780288696289
15,52.53882598876953,52.5998420715332
16,52.67116928100586,52.802650451660156
17,52.763832092285156,52.963008880615234
18,52.8455810546875,53.075565338134766
19,52.95277786254883,53.118553161621094
20,53.074031829833984,53.15582275390625
21,53.00995635986328,53.139408111572266
22,53.24696731567383,53.104835510253906
23,53.231048583984375,53.343299865722656
24,53.37378692626953,53.4048957824707
25,53.356788635253906,53.471736907958984
26,53.46420669555664,53.694976806640625
27,53.510955810546875,53.825416564941406
28,53.63330841064453,53.80879211425781
29,53.75175476074219,53.832054138183594
30,53.92162322998047,54.101417541503906
31,54.23350143432617,54.60047912597656
32,54.62490463256836,55.12888717651367
33,54.934288024902344,55.2682991027832
34,55.1689338684082,55.73231887817383
35,55.20917510986328,55.83555221557617
36,55.40324401855469,55.855377197265625
37,55.505245208740234,55.8868408203125
38,55.61152648925781,55.33141326904297
39,55.61054611206055,56.00617599487305
40,55.854305267333984,56.17030715942383
41,55.949440002441406,56.09482955932617
42,55.92943572998047,55.915611267089844
43,55.869659423828125,56.10231399536133
44,56.03801345825195,56.30427169799805
45,56.124813079833984,56.31586837768555
46,56.08558654785156,56.24220275878906
47,56.180171966552734,56.402896881103516
48,56.11980438232422,56.381980895996094
49,56.236854553222656,56.122798919677734
50,56.264671325683594,56.51681137084961
51,56.33072280883789,56.48551940917969
52,56.36215591430664,56.350303649902344
53,56.385398864746094,56.47595977783203
54,56.30458450317383,55.33655548095703
55,56.45668029785156,56.39741897583008
56,56.515235900878906,56.71034622192383
57,56.55752944946289,56.7153205871582
58,56.50993347167969,56.66001892089844
59,56.597251892089844,56.82520294189453
60,56.64247131347656,56.5975341796875
61,56.64826583862305,56.748966217041016
62,56.6441535949707,56.68210983276367
63,56.666419982910156,56.66109848022461
64,56.761661529541016,56.91787338256836
65,56.80733108520508,56.94942855834961
66,56.716552734375,56.64942169189453
67,56.87957763671875,57.014888763427734
68,56.90617370605469,56.91035079956055
69,56.864933013916016,56.84744644165039
70,56.87101364135742,57.026817321777344
71,56.934608459472656,56.7605094909668
72,56.90760040283203,56.95704650878906
73,56.88692855834961,57.02886962890625
74,57.04985046386719,56.96422576904297
75,57.052284240722656,57.0928840637207
76,57.05447006225586,57.02156448364258
77,57.07603454589844,57.236045837402344
78,57.10551452636719,57.13450241088867
79,57.12051773071289,57.16807556152344
80,57.097965240478516,57.09623336791992
81,57.01233673095703,57.186275482177734
82,57.08682632446289,57.26112747192383
83,57.18019104003906,57.13198471069336
84,57.21464538574219,56.7403678894043
85,57.19633102416992,57.02192687988281
86,57.287139892578125,57.2319450378418
87,57.276031494140625,57.041099548339844
88,57.261802673339844,57.36915588378906
89,57.31549835205078,57.2893180847168
90,57.32221603393555,57.220191955566406
91,57.393985748291016,57.39407730102539
92,57.385555267333984,57.41395950317383
93,57.29071807861328,57.144405364990234
94,57.34800338745117,57.45246887207031
95,57.368858337402344,57.251922607421875
96,57.38740921020508,57.42183303833008
97,57.503501892089844,57.35749053955078
98,57.528873443603516,57.315948486328125
99,57.52115249633789,57.47064208984375
100,57.559104919433594,57.41939163208008
101,57.47340393066406,57.41301727294922
102,57.59116744995117,57.43791580200195
103,57.59545135498047,57.29017639160156
104,57.60515213012695,57.546592712402344
105,57.648956298828125,57.62508010864258
106,57.66069030761719,57.366329193115234
107,57.66586685180664,57.4884033203125
108,57.567684173583984,57.43521499633789
109,57.681068420410156,57.36390686035156
110,57.634437561035156,57.67326354980469
111,57.72527313232422,57.416465759277344
112,57.688568115234375,57.45908737182617
113,57.807899475097656,57.557891845703125
114,57.778316497802734,57.72711944580078
115,57.7681884765625,57.61362838745117
116,57.82804870605469,57.496421813964844
117,57.835784912109375,57.741790771484375
118,57.86008071899414,57.69313430786133
119,57.839942932128906,57.676612854003906
120,57.8839111328125,57.70962905883789
121,57.86806869506836,57.325660705566406
122,57.87965393066406,57.5610237121582
123,57.87361145019531,57.71984100341797
124,57.943538665771484,57.753116607666016
125,57.94834899902344,57.599361419677734
126,57.9177360534668,57.41532516479492
127,57.961700439453125,57.805198669433594
128,57.964393615722656,57.74178695678711
129,58.02123260498047,57.12672805786133
130,57.98942184448242,57.592769622802734
131,58.00702667236328,57.78451919555664
132,58.07552719116211,57.7869987487793
133,58.05549240112305,57.47541427612305
134,58.062225341796875,57.7873420715332
135,58.096134185791016,57.18202209472656
136,58.114418029785156,57.83799743652344
137,58.04574966430664,57.862396240234375
138,58.06806945800781,57.87703323364258
139,58.18789291381836,57.7365608215332
140,58.157840728759766,57.800262451171875
141,58.132659912109375,57.358062744140625
142,58.181758880615234,57.8164176940918
143,58.147605895996094,57.93366241455078
144,58.23054504394531,57.45652770996094
145,58.17912673950195,57.79689407348633
146,58.20925521850586,57.92552947998047
147,58.17308807373047,57.9504508972168
148,58.24714660644531,58.00776672363281
149,58.2550048828125,57.93581008911133
150,58.327362060546875,57.955387115478516
1,58.28717803955078,57.912574768066406
2,58.30194091796875,57.965576171875
3,58.36137008666992,57.902687072753906
4,58.3548469543457,57.61518859863281
5,58.300899505615234,57.77164840698242
6,58.30725860595703,58.009361267089844
7,58.34903335571289,57.79663848876953
8,58.35237121582031,57.862308502197266
9,58.41707992553711,57.98362350463867
10,58.407779693603516,58.02326965332031
11,58.416812896728516,57.75907897949219
12,58.35516357421875,58.01134490966797
13,58.441898345947266,58.05366134643555
14,58.49634552001953,58.01810073852539
15,58.47381591796875,57.87046432495117
16,58.489906311035156,58.06861877441406
17,58.49507522583008,57.951473236083984
18,58.501243591308594,57.71473693847656
19,58.50006866455078,57.822486877441406
20,58.54471969604492,58.04222869873047
21,58.544410705566406,58.07088851928711
22,58.53246307373047,57.96905517578125
23,58.570556640625,57.9324836730957
24,58.607643127441406,58.042537689208984
25,58.568389892578125,57.94792938232422
26,58.60380935668945,57.95432662963867
27,58.577232360839844,58.08903503417969
28,58.609745025634766,57.962677001953125
29,58.924827575683594,58.21749496459961
30,58.9793586730957,58.1917610168457
31,58.992061614990234,58.21144485473633
32,58.989559173583984,58.142513275146484
33,59.01111602783203,58.19354248046875
34,59.04228591918945,58.19501495361328
35,59.02942657470703,58.200435638427734
36,59.02499771118164,58.19134521484375
37,59.0181770324707,58.21723556518555
38,59.026832580566406,58.221893310546875
39,59.025943756103516,58.2164421081543
40,59.0399055480957,58.20683670043945
41,59.05168533325195,58.21405792236328
42,59.05363845825195,58.13502883911133
43,59.057640075683594,58.21921920776367
44,59.060203552246094,58.20216369628906
45,59.04369354248047,58.240291595458984
46,59.030364990234375,58.20335388183594
47,59.06500244140625,58.22802734375
48,59.043277740478516,58.224788665771484
49,59.047340393066406,58.158870697021484
50,59.06372833251953,58.22282409667969
51,59.09035110473633,58.187076568603516
52,59.04953384399414,58.21697235107422
53,59.065670013427734,58.223045349121094
54,59.05173110961914,58.1900749206543
55,59.0811767578125,58.211509704589844
56,59.063236236572266,58.18227005004883
57,59.093807220458984,58.185325622558594
58,59.13264083862305,58.18169021606445
59,59.11555099487305,58.180458068847656
60,59.119659423828125,58.19057846069336
61,59.1265869140625,58.226802825927734
62,59.11362838745117,58.20219802856445
63,59.136375427246094,58.18256378173828
64,59.118045806884766,58.21548843383789
65,59.14226531982422,58.186912536621094
66,59.12150955200195,58.2139778137207
67,59.14170837402344,58.223419189453125
68,59.11708068847656,58.215553283691406
69,59.11616516113281,58.22850036621094
70,59.105709075927734,58.2056884765625
71,59.11873245239258,58.228912353515625
72,59.12541961669922,58.21139907836914
73,59.150630950927734,58.1793327331543
74,59.132041931152344,58.21410369873047
75,59.12485885620117,58.22188186645508
76,59.12882614135742,58.196556091308594
77,59.11922836303711,58.186134338378906
78,59.13997268676758,58.20697784423828
79,59.1029167175293,58.20054244995117
